"","species_code","days","mass_init","mass_rem","fTreatment","fTub","sp_abrev","species","family","gf","gf_old","LAM","DMC","N","C","HC_1","HC_2","CL","LG","wt_type","HC","mRem","mInit","t"
"199","H",42,4030,3040,"inundated","H 2","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.01961279440027,8.30152165494073,0.115068493150685
"200","H",42,4080,3150,"inundated","H 3","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.05515773181968,8.31385226739821,0.115068493150685
"201","H",84,3970,2770,"inundated","H 1","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,7.92660259918138,8.28652137368124,0.23013698630137
"202","H",84,4030,3070,"inundated","H 2","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.02943284058124,8.30152165494073,0.23013698630137
"203","H",84,4040,3180,"inundated","H 3","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.06463647577422,8.3039999709552,0.23013698630137
"204","H",168,4200,2560,"inundated","H 1","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,7.84776253747361,8.34283980427146,0.46027397260274
"205","H",168,3950,2170,"inundated","H 2","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,7.68248244653451,8.28147085789517,0.46027397260274
"206","H",168,4140,2390,"inundated","H 3","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,7.77904864492556,8.32845106681936,0.46027397260274
"207","H",252,4200,1870,"inundated","H 1","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,7.53369370984863,8.34283980427146,0.69041095890411
"208","H",252,4280,2850,"inundated","H 2","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,7.9550742732627,8.36170828857584,0.69041095890411
"209","H",252,4080,1390,"inundated","H 3","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,7.23705902612474,8.31385226739821,0.69041095890411
"210","I",0,3870,3870,"inundated","I 1","P. distichum","Paspalum_distichum","Poaceae","AT","G",-1.99702080798094,0.0238545016954393,-1.2392666836762,-0.920267673758443,NA,17.9465212793798,1.76813983523016,-1.81006021592461,"mean",0.232968260340102,8.26100978602383,8.26100978602383,0
